Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Comment
EURUSD;599895282;Sell Stop;0.02;14.04.2022 09:30:14;1.09085;14.04.2022 09:33:06;1.09082;1.34;1.34;[S/L]
EURUSD;599583254;Buy Stop;0.02;13.04.2022 20:13:15;1.08774;13.04.2022 20:25:30;1.08808;15.24;15.24;[S/L]
EURUSD;599576276;Buy Stop;0.02;13.04.2022 20:05:47;1.08745;13.04.2022 20:10:43;1.08748;1.35;1.35;[S/L]
EURUSD;599571993;Sell;0.02;13.04.2022 20:00:35;1.08724;13.04.2022 20:05:45;1.08746;-9.9;-9.90;
EURUSD;599570154;Buy Stop;0.01;13.04.2022 19:59:03;1.08753;13.04.2022 20:00:31;1.08724;-6.51;-6.51;[S/L]
EURUSD;599559497;Sell;0.02;13.04.2022 19:43:58;1.08782;13.04.2022 19:58:28;1.08754;12.59;12.59;
EURUSD;599568307;Buy;0.01;13.04.2022 19:56:36;1.08763;13.04.2022 19:57:01;1.08743;-4.49;-4.49;
EURUSD;599558415;Sell;0.02;13.04.2022 19:42:26;1.08784;13.04.2022 19:43:11;1.08814;-13.49;-13.49;
EURUSD;599528677;Buy Stop;0.02;13.04.2022 19:08:50;1.08793;13.04.2022 19:25:46;1.08796;1.35;1.35;[S/L]
EURUSD;599523349;Sell;0.02;13.04.2022 19:03:02;1.0879;13.04.2022 19:08:44;1.08793;-1.35;-1.35;
EURUSD;599518018;Buy Stop;0.02;13.04.2022 18:56:46;1.08823;13.04.2022 19:03:02;1.0879;-14.8;-14.80;[S/L]
EURUSD;599372583;Buy;0.02;13.04.2022 16:48:47;1.08364;13.04.2022 17:11:29;1.08506;63.87;63.87;
EURUSD;599357591;Sell Stop;0.02;13.04.2022 16:38:10;1.08319;13.04.2022 16:41:23;1.08317;0.9;0.90;[S/L]
EURUSD;599329596;Sell Stop;0.02;13.04.2022 16:21:29;1.08334;13.04.2022 16:30:07;1.08332;0.9;0.90;[S/L]
EURUSD;599305557;Sell Stop;0.01;13.04.2022 16:06:20;1.08217;13.04.2022 16:10:45;1.0826;-9.71;-9.71;[S/L]
EURUSD;599296520;Sell Stop;0.02;13.04.2022 16:01:53;1.08148;13.04.2022 16:02:39;1.08186;-17.18;-17.18;[S/L]
EURUSD;599222283;Buy Stop;0.02;13.04.2022 15:30:39;1.08159;13.04.2022 15:31:48;1.08122;-16.7;-16.70;[S/L]
EURUSD;599212758;Sell;0.02;13.04.2022 15:22:50;1.08138;13.04.2022 15:27:33;1.08138;0;0;
EURUSD;599085659;Sell;0.02;13.04.2022 13:39:58;1.0842;13.04.2022 13:55:07;1.08318;46.09;46.09;
EURUSD;598853391;Buy;0.02;13.04.2022 09:30:29;1.08292;13.04.2022 09:49:06;1.08346;24.34;24.34;
EURUSD;598784300;Sell Stop;0.02;13.04.2022 08:31:42;1.0827;13.04.2022 08:41:35;1.08299;-13.11;-13.11;[S/L]
EURUSD;598779920;Buy Stop;0.02;13.04.2022 08:27:33;1.08352;13.04.2022 08:28:09;1.08312;-18.05;-18.05;[S/L]
EURUSD;598777922;Buy;0.02;13.04.2022 08:25:15;1.08361;13.04.2022 08:25:50;1.08331;-13.53;-13.53;
EURUSD;598775366;Buy Stop;0.02;13.04.2022 08:22:56;1.08394;13.04.2022 08:23:26;1.08346;-21.64;-21.64;[S/L]
EURUSD;598423830;Sell;0.02;12.04.2022 19:08:15;1.08417;12.04.2022 19:29:36;1.08359;26.2;26.20;
EURUSD;598422995;Buy;0.02;12.04.2022 19:07:11;1.08452;12.04.2022 19:08:12;1.08418;-15.32;-15.32;
LCID.US;598170619;Sell;3;12.04.2022 16:01:18;22.36;12.04.2022 16:52:14;21.61;50.48;50.48;
GM.US;598221429;Sell;2;12.04.2022 16:30:58;40.41;12.04.2022 16:51:47;40.39;0.9;0.90;
GM.US;598104557;Sell Stop;2;12.04.2022 15:32:41;39.82;12.04.2022 15:37:32;40.29;-21.1;-21.10;[S/L]
